CodigoEstacion;NombreEstacion;Latitud;Longitud;Altitud;Categoria;Entidad;AreaOperativa;Departamento;Municipio;FechaInstalacion;FechaSuspension;IdParametro;Etiqueta;DescripcionSerie;Frecuencia;Fecha;Valor;Grado;Calificador;NivelAprobacion
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 14:00;703.9;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 15:00;581.6;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 16:00;418.9;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 17:00;215.8;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 18:00;39.3;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 19:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 20:00;1.1;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 21:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 22:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 23:00;0;50;;900
