GRUPO;1;2;3;4;5;6;7;8;9;10;T;Nº sonidos;Autostop;T;Npalabras simples;Autostop;T;Npalabras sin sent;Autostop;T;Npalabras lectura;Primero;segundo;tercero;cuarto;quinto;uno;dos;tres;cuatro;OBSERVACIONES;a. Identificación del sonido inicial;A. Conocimiento sonido de las letras sin tiempo;A. Lectura de palabras simples;A. Decodificación de palabras sin sentidos;A. Lectura de un pasaje;A. Lectura de un pasaje preguntas;A. Comprensión oral;B. Identificación del sonido inicial;B. Identificación del sonido inicial;B. Conocimiento sonido de las letras sin tiempo;B. Lectura de palabras simples;B. Decodificación de palabras sin sentido;B. Lectura de un pasaje;B. Lectura de un pasaje (preguntas);B. Lectura de un pasaje (preguntas);B. Comprensión oral;B. Comprensión oral;c. Identificación del sonido inicial;c. Conocimiento sonido de las letras sin tiempo;c. Lectura de palabras simples;c. Decodificación de palabras sin sentidos;c. Lectura de un pasaje;c. Lectura de un pasaje preguntas;c. Comprensión oral;GLOBAL;ESCALA GLOBAL
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;C;C;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;10;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;SI;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;8;SI;10;0;SI;10;8;SI;10;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;SI;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;3;SI;20;0;SI;20;3;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;SI;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;8;SI;20;0;SI;20;0;SI;20;8;N;N;N;N;N;C;I;C;C;;NO;SI;NO;NO;SI;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;6;SI;20;0;SI;20;0;SI;20;6;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;SI;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;60;15;SI;60;15;SI;60;0;SI;60;0;C;C;C;N;N;C;C;C;C;;NO;SI;SI;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;3;REGULAR;4;NORMAL;0;0;0;0;0;1;2;3;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;10;SI;20;0;N;N;N;N;N;C;C;N;C;;NO;SI;NO;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;8;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;I;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;15;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;I;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;6;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;I;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;8;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;N;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;4;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;N;N;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;20;12;SI;20;12;SI;20;0;SI;20;0;N;N;N;N;N;C;N;C;C;;NO;SI;SI;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
103;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
